iter	Passed	Remaining
0	5339	5334123
1	9639	4809982
2	14089	4682575
3	18388	4578620
4	22003	4378728
5	26266	4351450
6	30839	4374814
7	36108	4477473
8	39971	4401311
9	43456	4302238
10	47725	4290982
11	53081	4370353
12	57268	4348000
13	61847	4355829
14	66926	4394847
15	72488	4458067
16	77885	4503626
17	81452	4443661
18	84822	4379514
19	88285	4325996
20	92576	4315841
21	97389	4329392
22	101856	4326667
23	105214	4278712
24	109397	4266502
25	112816	4226271
26	116415	4195263
